"","V1"
"BeyondEntitiesAndRelationships.txt",3
"bigdata.txt",3
"ConditionsOverCauses.txt",4
"EmergentDesignInEnterpriseIT.txt",1
"FromInformationToKnowledge.txt",5
"FromTheCoalface.txt",1
"HeraclitusAndParmenides.txt",4
"IroniesOfEnterpriseIT.txt",1
"MakingSenseOfOrganizationalChange.txt",4
"MakingSenseOfSensemaking.txt",5
"ObjectivityAndTheEthicalDimensionOfDecisionMaking.txt",2
"OnTheInherentAmbiguitiesOfManagingProjects.txt",2
"OrganisationalSurprise.txt",4
"ProfessionalsOrPoliticians.txt",1
"RitualsInInformationSystemDesign.txt",3
"RoutinesAndReality.txt",4
"ScapegoatsAndSystems.txt",4
"SherlockHolmesFailedProjects.txt",2
"sherlockHolmesMgmtFetis.txt",2
"SixHeresiesForBI.txt",3
"SixHeresiesForEnterpriseArchitecture.txt",1
"TheArchitectAndTheApparition.txt",2
"TheCloudAndTheGrass.txt",5
"TheConsultantsDilemma.txt",2
"TheDangerWithin.txt",4
"TheDilemmasOfEnterpriseIT.txt",1
"TheEssenceOfEntrepreneurship.txt",3
"ThreeTypesOfUncertainty.txt",2
"TOGAFOrNotTOGAF.txt",1
"UnderstandingFlexibility.txt",1
